Dart_MT,dbo,DUAL,BASE TABLE,Dart_MT,dbo,DUAL,DUMMY,1,NULL,YES,varchar,1,1,NULL,NULL,NULL,NULL,NULL,NULL,iso_1,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_11Y_TEMPRESPONSERESTORATIONTABLE,BASE TABLE,Dart_MT,dbo,OSUSR_11Y_TEMPRESPONSERESTORATIONTABLE,TENANT_ID,1,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_11Y_TEMPRESPONSERESTORATIONTABLE,BASE TABLE,Dart_MT,dbo,OSUSR_11Y_TEMPRESPONSERESTORATIONTABLE,ID,2,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dbo,OSUSR_11Y_TEMPRESPONSERESTORATIONTABLE,ID
Dart_MT,dbo,OSUSR_11Y_TEMPRESPONSERESTORATIONTABLE,BASE TABLE,Dart_MT,dbo,OSUSR_11Y_TEMPRESPONSERESTORATIONTABLE,RESTORATIONFILE,3,NULL,YES,varbinary,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,ID,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,_LOCALE,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,LABEL,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,ACTION,4,NULL,YES,nvarchar,500,1000,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,SHORTCUT,5,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,CONTEXT,6,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLCONTEXTMENU,PARENT,7,NULL,YES,nvarchar,150,300,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
